               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.031808,            0.033349,           0.0036868,             0.89985,             0.80293,             0.80328,             0.67527,            0.023731,            0.011744,           0.0033998,            0.001156,            0.001156,            0.001156
                 136,            0.030881,            0.031933,           0.0035728,             0.90579,             0.80803,             0.81122,             0.68303,            0.023207,            0.011413,           0.0034085,             0.00109,             0.00109,             0.00109
                 137,             0.03233,            0.040099,            0.003277,             0.90513,             0.80785,             0.81025,             0.68355,            0.023214,            0.011575,           0.0033909,            0.001024,            0.001024,            0.001024
                 138,            0.030523,            0.031316,           0.0038536,             0.89846,              0.8027,             0.80372,             0.68386,            0.023164,            0.011752,           0.0033759,            0.000958,            0.000958,            0.000958
                 139,            0.029603,            0.032964,           0.0034437,             0.89871,              0.8027,             0.80576,             0.68492,            0.023159,            0.011234,           0.0033855,            0.000892,            0.000892,            0.000892
                 140,            0.030541,            0.032641,           0.0032987,             0.89916,             0.80273,             0.80616,             0.68343,             0.02315,            0.011275,           0.0034083,            0.000826,            0.000826,            0.000826
                 141,            0.027816,            0.028651,            0.003202,             0.89939,             0.80276,              0.8055,             0.68816,            0.023093,            0.011524,           0.0034154,             0.00076,             0.00076,             0.00076
                 142,            0.028935,            0.030424,           0.0033535,             0.90564,             0.81406,             0.80892,             0.68767,             0.02315,            0.011727,           0.0033987,            0.000694,            0.000694,            0.000694
                 143,            0.028952,            0.030051,           0.0034067,             0.90029,             0.80895,             0.80499,             0.68322,             0.02333,            0.011977,           0.0034154,            0.000628,            0.000628,            0.000628
                 144,            0.027883,            0.029101,           0.0029331,             0.90034,             0.80893,             0.80448,             0.68393,            0.023245,            0.011822,           0.0034232,            0.000562,            0.000562,            0.000562
                 145,             0.02812,             0.03212,           0.0033432,             0.89956,             0.80894,             0.80362,             0.68306,            0.023042,            0.011459,           0.0033802,            0.000496,            0.000496,            0.000496
                 146,            0.029321,            0.031662,           0.0031404,             0.89951,             0.80893,             0.80422,             0.68536,             0.02301,            0.011539,           0.0033557,             0.00043,             0.00043,             0.00043
                 147,            0.027774,            0.029166,           0.0037226,             0.89933,             0.80897,             0.80305,             0.68083,            0.023093,            0.011454,            0.003359,            0.000364,            0.000364,            0.000364
                 148,            0.029132,             0.02929,            0.002884,             0.89935,             0.80898,             0.80185,             0.68664,            0.022933,            0.011483,           0.0033637,            0.000298,            0.000298,            0.000298
                 149,            0.028269,            0.028374,           0.0032708,              0.8993,             0.80872,             0.80148,             0.68366,            0.022961,            0.011491,           0.0033507,            0.000232,            0.000232,            0.000232
